Name | Sense of Meaning | Variants | Pronunciations | Morpheme Word Role ID | Morpheme Word Origin ID 
SUPER- | above | [] | /ˈsuːpər/ | 2 | 1 
TRANS- | across, through, or beyond | [] | /trænz/ | 2 | 1 
AB- | away from | [] | /æb/ | 2 | 1 
AD- | to or towards | ["AF-", "AP-", "AR-", "AC-", "AL-", "AG-", "AS-", "AT-", "AN-"] | /æd/ | 2 | 1 
CON- | with or together | ["COM-", "COL-", "COR-", "CO-"] | /kɒn/ | 2 | 1 
DE- | down, opposite, or away | [] | /diː/ | 2 | 1
DIS- | not, opposite, or away | ["DIF-", "DI-"] | /dɪs/ | 2 | 1
EN- | cause to or put into | ["EM-"] | /ɛn/ | 2 | 1 
EX- | out,["EC-", "ES-", "EF-", "E-"] | /ɛks/ | 2 | 1
IN- | in or not | ["IM-", "IL-", "IR-"] | /ɪn/ | 2 | 1
INTER- | between | [] | /ˈɪntər/ | 2 | 1 
MIS- | wrong | [] | /mɪs/ | 2 | 1
NON- | not | [] | /nɒn/ | 2 | 1
OB- | against, towards, away, or over | ["OC-", "OF-", "OP-"] | /ɒb/ | 2 | 1
PRE- | before | [] | /priː/ | 2 | 1
POST- | after | [] | /poʊst/ | 2 | 1
PRO- | in favor of or forward | [] | /proʊ/ | 2 | 1
RE- | back or again | [] | /riː/ | 2 | 1
SUB- | under or close to | ["SUC-", "SUG-", "SUF-", "SUM-", "SUP-", "SUS-"] | /sʌb/ | 2 | 1
PRESS | squeeze | [] | /prɛs/ | 1 | 1 
CAPT | take | ["CEPT", "CEIT", "CEIVE", "CIPE", "CAPE"] | /kæpt/ | 1 | 1
DICT | say or speak | ["DICE"] | /dɪkt/ | 1 | 1 
DUCT | lead | ["DUCE"] | /dʌkt/ | 1 | 1 
FER | bring or carry | [] | /fɜr/ | 1 | 1
FICE | make or do | ["FICT", "FACT", "FECT", "FACE"] | /faɪs/ | 1 | 1 
FORM | shape or form | [] | /fɔrm/ | 1 | 1 
JECT | throw | [] | /dʒɛkt/ | 1 | 1
MISE | send | ["MIT", |   "MISS"] | /maɪz/ | 1 | 1
PLICE | fold | ["PLEX", "PLY"] | /plaɪs/ | 1 | 1
PORT | carry or gateway | [] | /pɔrt/ | 1 | 1 
POSE | set | ["PONE"] | /poʊz/ | 1 | 1 
RUPT | break or burst | [] | /rʌpt/ | 1 | 1 
SCRIBE | write | ["SCRIPT"] | /skraɪb/ | 1 | 1 
SECT | cut | ["SEG"] | /sɛkt/ | 1 | 1 
SIST | stand or make firm | ["STATE", "STITE", "STANT", "STANCE"] | /sɪst/ | 1 | 1
SPICE | look or see | ["SPECE", "SPECT"] | /spaɪs/ | 1 | 1 
STRUCT | build | [] | /strʌkt/ | 1 | 1 
TAIN | hold | ["TENE", "TINE"] | /teɪn/ | 1 | 1 
TEND | stretch | ["TENT", "TENSE"] | /tɛnd/ | 1 | 1 
TRACT | pull | [] | /trækt/ | 1 | 1 
VERT | turn | ["VERSE"] | /vɜrt/ | 1 | 1 
-ABLE | able to | ["-I | BLE"] | /ˈeɪbəl/ | 3 | 1 
-AN | belonging to or having to do with | [] | /æn/ | 3 | 1 
-IC | has the nature of or has to do with | [] | /ɪk/ | 3 | 1 
-IVE | pertaining to or tending to | [] | /ɪv/ | 3 | 1 
-OUS | full of | [] | /əs/ | 3 | 1 
-ANCE| state, quality, act of, or condition of | ["-ENCE"] | /əns/ | 3 |  | 1 
-ANT | state or condition of, a person who, or tending to |["-ENT"] |/ænt/ |3 |1
-IFY | to make, cause to be, or bring to a state of | [] | /ɪfaɪ/ | 3 | 1 
-AL | relating to | [] | /əl/ | 3 | 1 
-ION | the condition, state or action of | ["-URE" |  "-MENT"] | /ʃən/ | 3 | 1